City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,kodoli,16.8833,74.2,23.61,83,10,1.83,IN,1686531792
144,chonchi,-42.6128,-73.8092,6.56,92,8,1.71,CL,1686531792
145,castillos,-34.1667,-53.8333,5.88,78,5,3.4,UY,1686531792
146,khovd,48.0056,91.6419,23.01,37,2,1.49,MN,1686531792
147,horasan,40.0458,42.1728,11.48,77,85,0.55,TR,1686531793
148,east ballina,-28.8667,153.5833,18.96,67,100,1.01,AU,1686531793
149,utrik,11.2278,169.8474,27.75,82,32,7.52,MH,1686531793
150,ryotsu-minato,38.0833,138.4333,22.85,76,100,1.14,JP,1686531793
151,aasiaat,68.7098,-52.8699,0.47,98,100,3.83,GL,1686531793
152,az zubayr,30.3945,47.7011,32.92,24,0,4.12,IQ,1686531793
153,nema,57.5067,50.5011,3.91,75,0,1.68,RU,1686531794
154,el hadjira,32.6134,5.5126,29.05,37,0,4.51,DZ,1686531794
155,pace,30.5994,-87.1611,28.08,81,40,5.14,US,1686531794
156,strathalbyn,-35.2667,138.9,16.51,69,100,6.65,AU,1686531794
157,dapa,9.7594,126.0531,28.59,72,100,0.91,PH,1686531794
158,richards bay,-28.783,32.0377,14.68,69,0,3.08,ZA,1686531794
159,akureyri,65.6835,-18.0878,10.96,54,0,11.83,IS,1686531795
160,isafjordur,66.0755,-23.124,7.8,82,76,6.15,IS,1686531795
161,las palmas,28.4204,-14.0131,20.44,68,0,3.09,ES,1686531592
162,waingapu,-9.6567,120.2641,27.08,69,100,7.87,ID,1686531795
163,howrah,22.5892,88.3103,30.0,84,40,2.06,IN,1686531795
164,happy valley-goose bay,53.3168,-60.3315,13.17,67,20,3.09,CA,1686531796
165,kavaratti,10.5669,72.642,29.39,76,83,10.12,IN,1686531796
166,bansi,27.1833,82.9333,33.02,45,0,4.63,IN,1686531796
167,troitsko-pechorsk,62.7084,56.1964,4.56,64,100,2.75,RU,1686531796
168,riohacha,11.5444,-72.9072,31.06,66,0,6.17,CO,1686531796
169,labrador city,52.9463,-66.9114,13.95,88,75,1.54,CA,1686531695
170,kiruna,67.8557,20.2251,5.51,81,100,3.09,SE,1686531797
171,okha,53.5739,142.9478,7.06,94,100,2.89,RU,1686531797
172,colonia,50.9333,6.95,19.92,59,0,1.03,DE,1686531721
173,avarua,-21.2078,-159.775,26.03,78,20,2.06,CK,1686531797
174,belen,36.4891,36.2233,16.12,91,100,1.96,TR,1686531673
175,ravar,31.2656,56.8055,26.77,31,3,2.49,IR,1686531798
176,fale old settlement,-9.3852,-171.2468,28.86,77,100,7.15,TK,1686531798
177,namdrik,5.5994,168.1028,28.72,78,86,7.92,MH,1686531798
178,callao,-12.0667,-77.15,22.16,73,100,6.69,PE,1686531779
179,kuraymah,18.55,31.85,34.13,21,99,2.87,SD,1686531799
180,vredendal,-31.6683,18.5012,13.88,92,100,6.56,ZA,1686531799
181,saint-pierre,-21.3393,55.4781,21.82,68,0,2.57,RE,1686531799
182,walvis bay,-22.9575,14.5053,11.72,100,0,3.09,NA,1686531799
183,gashua,12.871,11.0482,30.03,50,92,0.95,NG,1686531799
184,cockburn town,21.4612,-71.1419,28.03,87,5,7.89,TC,1686531800
185,djibouti,11.5,42.5,30.71,38,100,1.38,DJ,1686531800
186,pontevedra,42.431,-8.6444,18.97,91,100,1.12,ES,1686531800
187,afaahiti,-17.75,-149.2833,28.93,72,62,6.92,PF,1686531800
188,zhangzhou,24.5133,117.6556,28.96,80,73,0.77,CN,1686531800
189,aykhal,66.0,111.5,2.2,83,23,5.8,RU,1686531800
190,pisco,-13.7,-76.2167,20.03,77,0,6.17,PE,1686531587
191,khandyga,62.6667,135.6,18.47,63,100,3.1,RU,1686531801
192,flying fish cove,-10.4217,105.6791,25.82,94,100,5.14,CX,1686531801
193,xianshuigu,38.985,117.3828,23.0,64,6,3.0,CN,1686531801
194,olonkinbyen,70.9221,-8.7187,0.96,95,100,5.59,SJ,1686531801
195,saudarkrokur,65.7461,-19.6394,7.66,69,15,8.79,IS,1686531801
196,pangody,65.85,74.4859,7.24,79,100,4.9,RU,1686531561
197,ust-nera,64.5667,143.2,19.7,47,100,5.34,RU,1686531802
198,guiuan,11.0333,125.7247,28.9,74,100,4.49,PH,1686531802
